
# Surface 0 of 1 surfaces

# Curve title: ""calculusAndAnalyticGeometry_contourtmp1.dat""
# Contour 0, label:        1
 1.9  1.2909 -0.6 
 1.94936  1.3 -0.6 
 2  1.30939 -0.6 


# Contour 17, label:     -0.7
 2 -1.46789 -0.7 
 1.9 -1.45156 -0.7 
 1.8 -1.43637 -0.7 
 1.7 -1.42273 -0.7 
 1.6 -1.41135 -0.7 
 1.5 -1.40323 -0.7 
 1.4 -1.4 -0.7 
 1.3 -1.40431 -0.7 
 1.2 -1.42063 -0.7 
 1.1 -1.45646 -0.7 
 1.03345 -1.5 -0.7 
 1 -1.52873 -0.7 
 0.94606 -1.6 -0.7 
 0.9 -1.6846 -0.7 
 0.893815 -1.7 -0.7 
 0.861501 -1.8 -0.7 
 0.836863 -1.9 -0.7 
 0.817605 -2 -0.7 

 0.817605  2 -0.7 
 0.836863  1.9 -0.7 
 0.861501  1.8 -0.7 
 0.893815  1.7 -0.7 
 0.9  1.6846 -0.7 
 0.94606  1.6 -0.7 
 1  1.52873 -0.7 
 1.03345  1.5 -0.7 
 1.1  1.45646 -0.7 
 1.2  1.42063 -0.7 
 1.3  1.40431 -0.7 
 1.4  1.4 -0.7 
 1.5  1.40323 -0.7 
 1.6  1.41135 -0.7 
 1.7  1.42273 -0.7 
 1.8  1.43637 -0.7 
 1.9  1.45156 -0.7 
 2  1.46789 -0.7 


# Contour 18, label:     -0.8
 2 -1.6334 -0.8 
 1.9 -1.62068 -0.8 
 1.8 -1.6102 -0.8 
 1.7 -1.60284 -0.8 
 1.6 -1.6 -0.8 
 1.5 -1.60369 -0.8 
 1.4 -1.61714 -0.8 
 1.3 -1.64549 -0.8 
 1.2 -1.69721 -0.8 
 1.1964 -1.7 -0.8 
 1.1 -1.79648 -0.8 
 1.09755 -1.8 -0.8 
 1.0415 -1.9 -0.8 
 1.00002 -2 -0.8 

 1.00002  2 -0.8 
 1.0415  1.9 -0.8 
 1.09755  1.8 -0.8 
 1.1  1.79648 -0.8 
 1.1964  1.7 -0.8 
 1.2  1.69721 -0.8 
 1.3  1.64549 -0.8 
 1.4  1.61714 -0.8 
 1.5  1.60369 -0.8 
 1.6  1.6 -0.8 
 1.7  1.60284 -0.8 
 1.8  1.6102 -0.8 
 1.9  1.62068 -0.8 
 2  1.6334 -0.8 


# Contour 19, label:     -0.9
 2 -1.80927 -0.9 
 1.9 -1.80257 -0.9 
 1.8 -1.8 -0.9 
 1.7 -1.80322 -0.9 
 1.6 -1.81468 -0.9 
 1.5 -1.83802 -0.9 
 1.4 -1.87901 -0.9 
 1.36638 -1.9 -0.9 
 1.3 -1.95114 -0.9 
 1.25598 -2 -0.9 

 1.25598  2 -0.9 
 1.3  1.95114 -0.9 
 1.36638  1.9 -0.9 
 1.4  1.87901 -0.9 
 1.5  1.83802 -0.9 
 1.6  1.81468 -0.9 
 1.7  1.80322 -0.9 
 1.8  1.8 -0.9 
 1.9  1.80257 -0.9 
 2  1.80927 -0.9 

